pair_id,cohort,source_dataset,dataset_id,conversation_id,turn_window,language,navigator_segment_sha256,operator_side,topic,source_note
P25,primary,WildChat,allenai/WildChat-4.8M,70de0d170ca0597f5d7734dff9b7a0e3,11-14,en,4526c6bd01b631cce8ab7831099f2d2677a0ecfa56ef4b159f40e94b632c679a,synthetic gpt-3.5-turbo,education showcase,hash from original WildChat extract (wildchat_3000.xlsx); 1-idx exchange-turn window
P26,primary,WildChat,allenai/WildChat-4.8M,6076f0de7bbd66518b2d902d2b164adc,1-5,en,09411e55b7499247cdd37276122d25be25fef647132a148f0cb48b7b8a15cdd3,synthetic gpt-3.5-turbo,ww2 animation,same source conversation as S02 (different window)
P27,primary,WildChat,allenai/WildChat-4.8M,d1026225703965eb7d5c4924277b9df5,1-5,en,dd80d7528efbdbae8d81c85aae597635cecbe6621a4248cf4a79f46f864d4c6a,synthetic gpt-3.5-turbo,projectile collision,
P29,primary,WildChat,allenai/WildChat-4.8M,9c0d357533644e39a557dd48ea77347e,1-5,en,feec312ea47a1581cccc8707c23e96ac2226e6da39a211bdbc78096fd9541e42,synthetic gpt-3.5-turbo,sql join (pilot),hash from original WildChat extract (wildchat_3000.xlsx)
P30,primary,WildChat,allenai/WildChat-4.8M,76d36552327db402b79b9896a290775a,11-15,en,a22e2863cec56336277c6a913702293fbf4c24a980d12feedee52f5589060768,synthetic gpt-3.5-turbo,history khajuraho (pilot),hash from original WildChat extract (wildchat_3000.xlsx)
P32,primary,WildChat,allenai/WildChat-4.8M,06c2af60d2e423c65dbb09aee1a63ddf,1-5,en,be43652373f3f879db3ce6ea6ee01f03de6e6544f20d637540eda0e4f9e601c4,synthetic gpt-3.5-turbo,prof halloween (pilot),hash from original WildChat extract (wildchat_3000.xlsx)
P33,primary,WildChat,allenai/WildChat-4.8M,0d141813b43c4f7b1a5036bcc685f884,1-5,en,6260fbeb48ddc69adcfaad288244f98533a70caac2c6b5c2eb23ec91b1df65bb,synthetic gpt-3.5-turbo,code web explorer (pilot),hash from original WildChat extract (wildchat_3000.xlsx)
P34,primary,WildChat,allenai/WildChat-4.8M,094de2879f0b66eb6f78462cce3915b3,6-9,en,945b6ff371a0c347b583e0cf4dc68f0b39891638b4ddab66b5611fefed8ce4ea,synthetic gpt-3.5-turbo,sci traffic flow (pilot),hash from original WildChat extract (wildchat_3000.xlsx)
P35,primary,WildChat,allenai/WildChat-4.8M,ed26870b91ee7d041ccc0e1b47e2fdc1,6-8,en,b7ae99b7f365031e5cad13b1ecef62d6197e7ff8dbf09d5727db71dda0e4433b,synthetic gpt-3.5-turbo,code hibernate inheritance (pilot),hash from original WildChat extract (wildchat_3000.xlsx)
S01,sensitivity,WildChat,allenai/WildChat-4.8M,1d4faa1c28e26f1cd5e5c8ad72555009,16-27,en,c287747b258af07374da6652143358699c921c77619a8a3624a491cd9d73b2d9,synthetic gpt-3.5-turbo,time complexity irreducibility,window_id message range (parquet 0000 row 16890)
S02,sensitivity,WildChat,allenai/WildChat-4.8M,6076f0de7bbd66518b2d902d2b164adc,2-10,en,d984a1a39e39e61a9161167b1c2b62528c56dfc5cc466ea7474ce2eb0145cd26,synthetic gpt-3.5-turbo,wartime animation propaganda,same source conversation as P26 (different window); window_id message range
S03,sensitivity,WildChat,allenai/WildChat-4.8M,d4a85eb921e04f5646faa25516566e62,0-5,en,652538197c5f2166880f068d637673e63fb77c0163bb7da4adb90893bb55743b,synthetic gpt-3.5-turbo,hibernate maven sql,window_id message range 0-5; traced segment is 3 user turns
S04,sensitivity,WildChat,allenai/WildChat-4.8M,1106e97485efc54df54c54453db3b7d4,24-37,en,75886673808e6c7a23205e0e28bb52843361e4b761f3982a57c51a04a59d157b,synthetic gpt-3.5-turbo,biological logical neurons,window_id message range (parquet 0005 row 1414)
S14,sensitivity,LMSYS,lmsys/lmsys-chat-1m,b50eb1419efc4505bad96a39535cc61d,2-5,en,b0f65d31bc5985139f212e079827304a414015ad2c1a092bc8b6594d128c4aeb,synthetic gpt-3.5-turbo,anti joke,LMSYS source model vicuna-13b; language inferred from content
S15,sensitivity,LMSYS,lmsys/lmsys-chat-1m,bf5d2da2d0cf4617bb4b2fd0cfc3ea30,1-5,en,27c059a024cca2d5bbe2b735a65104222613988cc8b0e96a45522c9ce45f6403,synthetic gpt-3.5-turbo,gcp iam,LMSYS source model vicuna-13b; language inferred from content
S16,sensitivity,LMSYS,lmsys/lmsys-chat-1m,e1a3f2fbd2894541a2269746a1c5c1a2,5-8,en,a65ceac2f96ba3f17a6dab1c3251c01811359aacba08a2793693811967542280,synthetic gpt-3.5-turbo,oop,LMSYS source model vicuna-13b; language inferred from content
S17,sensitivity,WildChat,allenai/WildChat-4.8M,672cd0e6d238213d7c1ff1b429c3d91d,1-5,en,883ceece2f14f753ef3abe94ff11f019e8b38e1a913360b714c491d7a54591be,synthetic gpt-3.5-turbo,hibernate mappedsuperclass,RECONCILE: source-of-record = WildChat (row 417460); the locked indicator_panel.csv labels this pair LMSYS
S18,sensitivity,WildChat,allenai/WildChat-4.8M,eb51d5f65f760805b73af3ab5a1e17a7,1-5,en,0c92adbc0c5615b58290d0c35d3814b86b75c4288fcdc175ea324a9efd4f5eb8,synthetic gpt-3.5-turbo,latent heat,
S19,sensitivity,WildChat,allenai/WildChat-4.8M,cfab347596728fdcd3fe6bb22f7000dc,1-5,en,48b22e986525cecdf8862802d69e836f36c9cc8c6bb649799f66e02243cbf2c6,synthetic gpt-3.5-turbo,debroglie grav waves,
